event_date,category_level1,category_level2,order_count,unique_customers,unique_products,total_revenue,avg_order_value,min_order_value,max_order_value,revenue_per_customer,sale_year,sale_month,sale_quarter,sale_week,_aggregated_at
2019-12-01,accessories,bag,2,2,1,60.32,30.16,30.16,30.16,30.16,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-01,apparel,glove,25,21,16,189.64,7.5855999999999995,5.24,10.16,9.03,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-01,appliances,environment,21,17,13,726.49,34.5947619047619,1.11,95.08,42.73,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-01,furniture,bathroom,7,6,7,129.79000000000002,18.541428571428575,3.41,52.7,21.63,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-01,stationery,cartrige,18,10,12,38.2,2.1222222222222222,1.98,4.22,3.82,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-01,uncategorized,general,7157,818,4297,31542.290000000467,4.407194355176816,0.05,187.3,38.56,2019,12,4,48,2026-02-03 14:27:37.263318
2019-12-02,apparel,glove,21,17,15,170.43999999999997,8.116190476190475,5.24,11.19,10.03,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,appliances,environment,16,15,11,501.4200000000001,31.338750000000005,1.11,95.08,33.43,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,appliances,personal,1,1,1,89.16,89.16,89.16,89.16,89.16,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,furniture,bathroom,6,5,4,27.95,4.658333333333333,3.41,7.14,5.59,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,furniture,living_room,4,4,3,777.38,194.345,79.35,299.81,194.35,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,stationery,cartrige,35,16,24,82.78,2.365142857142857,1.98,4.6,5.17,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-02,uncategorized,general,8989,1005,5037,41621.87000000075,4.630311491823424,0.05,207.94,41.41,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,accessories,bag,1,1,1,30.16,30.16,30.16,30.16,30.16,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,accessories,cosmetic_bag,5,1,5,26.68,5.336,4.44,5.56,26.68,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,apparel,glove,25,22,15,155.71999999999997,6.228799999999999,0.94,10.16,7.08,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,appliances,environment,23,21,13,423.46000000000004,18.41130434782609,1.11,95.08,20.16,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,furniture,bathroom,9,6,7,118.17,13.13,3.41,52.7,19.7,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,furniture,living_room,3,3,1,238.04999999999998,79.35,79.35,79.35,79.35,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,stationery,cartrige,39,20,28,94.08000000000001,2.4123076923076927,1.98,3.02,4.7,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-03,uncategorized,general,8107,975,4802,37595.9200000006,4.63746392006915,0.05,187.3,38.56,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,accessories,cosmetic_bag,1,1,1,5.56,5.56,5.56,5.56,5.56,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,accessories,bag,2,2,2,79.03999999999999,39.519999999999996,33.33,45.71,39.52,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,apparel,glove,27,24,17,181.20999999999998,6.7114814814814805,0.94,11.19,7.55,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,appliances,personal,2,2,2,26.14,13.07,12.44,13.7,13.07,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,appliances,environment,24,21,15,480.72,20.03,1.11,95.08,22.89,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,furniture,living_room,2,2,2,180.95,90.475,82.54,98.41,90.48,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,furniture,bathroom,2,2,2,56.86,28.43,4.16,52.7,28.43,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,stationery,cartrige,33,14,19,73.8,2.2363636363636363,1.98,3.02,5.27,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-04,uncategorized,general,8273,1032,4848,40123.08000000067,4.849882751118177,0.08,273.02,38.88,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,accessories,bag,4,3,4,147.28,36.82,30.16,45.71,49.09,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,apparel,glove,24,22,18,154.31,6.429583333333333,0.94,10.16,7.01,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,appliances,personal,2,2,2,24.74,12.37,0.95,23.79,12.37,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,appliances,environment,26,20,17,834.5999999999999,32.099999999999994,1.11,95.08,41.73,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,furniture,living_room,1,1,1,299.81,299.81,299.81,299.81,299.81,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,furniture,bathroom,5,5,3,31.080000000000002,6.216,4.16,13.89,6.22,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,stationery,cartrige,37,19,21,84.35,2.2797297297297296,1.98,3.65,4.44,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-05,uncategorized,general,7662,956,4484,35777.660000000506,4.669493604802989,0.05,236.51,37.42,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,accessories,bag,1,1,1,45.71,45.71,45.71,45.71,45.71,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,accessories,cosmetic_bag,1,1,1,5.56,5.56,5.56,5.56,5.56,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,apparel,glove,19,18,11,113.83,5.991052631578947,0.94,10.16,6.32,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,appliances,personal,1,1,1,55.56,55.56,55.56,55.56,55.56,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,appliances,environment,20,17,11,488.4,24.419999999999998,1.11,79.21,28.73,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,furniture,bathroom,7,7,6,149.74999999999997,21.39285714285714,3.41,54.76,21.39,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,stationery,cartrige,34,12,23,76.99,2.264411764705882,1.98,4.6,6.42,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-06,uncategorized,general,7297,918,4342,35585.540000000554,4.8767356447856045,0.0,187.3,38.76,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,accessories,cosmetic_bag,1,1,1,4.6,4.6,4.6,4.6,4.6,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,accessories,bag,2,2,2,108.72,54.36,46.02,62.7,54.36,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,apparel,glove,15,14,9,82.66,5.510666666666666,0.94,10.16,5.9,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,appliances,environment,21,16,13,554.8,26.419047619047618,1.11,95.08,34.68,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,furniture,bathroom,5,4,4,15.850000000000001,3.1700000000000004,2.06,4.16,3.96,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,furniture,living_room,1,1,1,299.81,299.81,299.81,299.81,299.81,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,stationery,cartrige,36,19,19,84.64,2.351111111111111,1.98,3.02,4.45,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-07,uncategorized,general,5933,743,3684,26723.500000000226,4.504213719871941,0.05,273.02,35.97,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,apparel,glove,27,25,20,187.84000000000003,6.957037037037038,1.87,11.19,7.51,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,appliances,environment,14,11,10,602.86,43.06142857142857,1.43,95.08,54.81,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,furniture,living_room,1,1,1,79.35,79.35,79.35,79.35,79.35,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,furniture,bathroom,3,3,2,13.68,4.56,4.16,4.76,4.56,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,stationery,cartrige,39,19,26,91.54999999999998,2.347435897435897,1.98,3.65,4.82,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-08,uncategorized,general,6509,840,4022,31066.560000000412,4.772862190812784,0.0,157.14,36.98,2019,12,4,49,2026-02-03 14:27:37.263318
2019-12-09,accessories,bag,2,2,2,108.41,54.205,45.71,62.7,54.21,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,accessories,cosmetic_bag,1,1,1,4.44,4.44,4.44,4.44,4.44,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,apparel,glove,32,29,20,221.46000000000004,6.920625000000001,1.87,10.16,7.64,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,appliances,personal,1,1,1,57.14,57.14,57.14,57.14,57.14,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,appliances,environment,27,24,17,1022.6700000000002,37.87666666666667,1.11,102.38,42.61,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,furniture,living_room,3,3,2,241.23999999999998,80.41333333333333,79.35,82.54,80.41,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,furniture,bathroom,8,6,6,85.91,10.73875,3.41,52.7,14.32,2019,12,4,50,2026-02-03 14:27:37.263318
2019-12-09,stationery,cartrige,26,12,13,54.919999999999995,2.112307692307692,1.98,3.02,4.58,2019,12,4,50,2026-02-03 14:27:37.263318
